epoch,train_loss,val_loss
1,62.40942309862114,54.937030398656454
2,47.83133714227562,47.28151651412722
3,40.981953092780245,41.386447512914266
4,38.126349300977246,47.42986554948111
5,35.674856660850494,49.834749312627885
6,26.33397882773107,31.660943788195414
7,22.173238072262343,30.509355938623823
8,20.20178981226279,30.38973871866862
9,18.517548752970903,29.435258880494132
10,17.15177916150644,30.49560304671999
11,17.0131302250334,28.89831901731945
12,15.590443404072309,28.109799581860738
13,14.082030783611465,29.161371215941415
14,13.628072761444457,28.62155632745652
15,13.83627558039479,28.215286981491815
16,13.151583979329265,28.55135938856337
17,13.887804941352146,29.140937313200936
18,13.756560746417103,28.4081269370185
19,13.821679225480889,28.644314160422674
20,14.134259793862878,28.994430299789187
total training time,5270.342069149017,-
