epoch,train_loss,val_loss
1,83.45145578878335,74.37310791015625
2,64.89416947687765,57.892662290542845
3,45.498257314066485,46.50629303947328
4,39.0942242610977,42.57966423034668
5,35.91185140419766,44.25737444559733
6,31.665121728205587,42.510134590996635
7,29.78153600540769,38.29206163921054
8,25.322913982953683,39.48827156187996
9,23.973990601847373,37.292052677699495
10,22.07069784331607,40.658133370535715
11,19.700155307572203,43.00164306731451
12,14.655506379100906,31.38760802859352
13,11.964275378155044,31.124880624195885
14,10.473120850870808,33.62055254739428
15,9.322522256953782,32.62805036514524
16,11.0691857570671,32.115234859406
17,10.302116129027894,30.40615138553438
18,10.233340184052151,31.73616383567689
19,10.026706511755863,31.34907831464495
20,10.309540194819172,31.808418243650404
total training time,4857.2648158073425,-
