epoch,train_loss,val_loss
1,64.98612958596522,53.67224959721641
2,44.013766490130784,44.39059454297263
3,39.24849727524229,41.52009988209558
4,35.25345511645435,43.92113776434036
5,31.410447360034958,39.95537535349528
6,28.452878606271934,39.739039981175985
7,25.974118730461456,41.350055089072576
8,25.16822347792971,40.881998576815164
9,17.464922266652383,30.030909644232857
10,14.279812075702317,29.201027718801345
11,13.125639048230601,29.452982993352983
12,11.944727636428468,28.78926884181916
13,10.924501564873168,28.517541703723726
14,11.062142763954709,30.953315522935654
15,10.02005443345028,30.159750287494962
16,10.009572572442165,29.2202271355523
17,10.327852571153072,28.827494242834668
18,10.786117825375134,29.259413159082808
19,10.633548183745122,29.01112765357608
20,10.282385198481055,29.28500982314821
total training time,4947.941185951233,-
